  y\x    1.0    1.9    2.8    3.7    4.6    5.5    6.4    7.3    8.2    9.1   10.0   10.9 
  4.3 | -0.7 |-12.0 |  0.9 | -0.1 | -1.7 |  2.5 |  0.3 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 
  5.2 |-12.0 |  0.9 | -0.1 | -1.7 |  2.5 |  0.3 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 
  6.1 |  0.9 | -0.1 | -1.7 |  2.5 |  0.3 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 
  7.0 | -0.1 | -1.7 |  2.5 |  0.3 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 
  7.9 | -1.7 |  2.5 |  0.3 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 
  8.8 |  2.5 |  0.3 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 
  9.7 |  0.3 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 | -0.2 
 10.6 | -0.7 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 | -0.2 | -1.9 
 11.5 |-15.0 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 | -0.2 | -1.9 |  2.3 
 12.4 |  0.9 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 | -0.2 | -1.9 |  2.3 |  0.3 
 13.3 | -0.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 | -0.2 | -1.9 |  2.3 |  0.3 | -0.7 
 14.2 | -1.8 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 | -0.2 | -1.9 |  2.3 |  0.3 | -0.7 |-30.5 
 15.1 |  2.4 |  0.3 | -0.7 |-20.2 |  0.9 | -0.2 | -1.9 |  2.3 |  0.3 | -0.7 |-30.5 |  0.8 
